Name,URL,Address,Rating
Ocean Pharmacy,https://www.google.com/maps/place/Ocean+Pharmacy/data=!4m7!3m6!1s0x3be7cfd6b9d684e3:0x17a4cf9353a574d4!8m2!3d18.9914257!4d72.8314149!16s%2Fg%2F11qpl929p4!19sChIJ44TWudbP5zsR1HSlU5PPpBc?authuser=0&hl=en&rclk=1,"
Shop No.19, Pruthvi Vandan, NM Joshi Marg, Lower Parel East, BDD Chawl, Lower Parel, Mumbai, Maharashtra 400011",5.0(185)
"Wellness Forever Pharmacy - Cumbala Hill, South Mumbai","https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+Cumbala+Hill,+South+Mumbai/data=!4m7!3m6!1s0x3be7cf6ed6e4b0c5:0xf0afc470ab291ed8!8m2!3d18.9720944!4d72.8092012!16s%2Fg%2F11j__zqj85!19sChIJxbDk1m7P5zsR2B4pq3DEr_A?authuser=0&hl=en&rclk=1","
Clinic No. 3, Doctor House, Survey No. C.S, Pedder Rd, near Jaslok Hospital, Cumballa Hill, Mumbai, Maharashtra 400026",5.0(185)
"Apollo Pharmacy - Colaba, Mumbai","https://www.google.com/maps/place/Apollo+Pharmacy+-+Colaba,+Mumbai/data=!4m7!3m6!1s0x3be7d16d713570c7:0x8b7b44aee57fd332!8m2!3d18.9188433!4d72.8287414!16s%2Fg%2F11trxbmjrf!19sChIJx3A1cW3R5zsRMtN_5a5Ee4s?authuser=0&hl=en&rclk=1","
Grnd Flr, Ruki Mahal, No. 2 & 3, near HP Fuel Station, Cusrow Baug Colony, Apollo Bandar, Mumbai, Maharashtra 400005",5.0(185)
"Wellness Forever Pharmacy - Dadar East, Mahim, Mumbai","https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+Dadar+East,+Mahim,+Mumbai/data=!4m7!3m6!1s0x3be7cecd865ba34d:0x15a4db36e5732c3a!8m2!3d19.0085503!4d72.8427551!16s%2Fg%2F1tf85k9x!19sChIJTaNbhs3O5zsROixz5TbbpBU?authuser=0&hl=en&rclk=1","
Shop No.2 & 3, Aradhana Building, Hinduja National Hospital, Plot No - 88, Swatantryaveer Savarkar Rd, near P. D, Hindmata, Dadar East, Mahim, Mumbai, Maharashtra 400016",5.0(185)
"Wellness Forever Pharmacy - Marol Naka, Andheri E","https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+Marol+Naka,+Andheri+E/data=!4m7!3m6!1s0x3be7c9d94f81d345:0xa25b856e0fcb90d6!8m2!3d19.1084376!4d72.8778038!16s%2Fg%2F11g0jcm9_b!19sChIJRdOBT9nJ5zsR1pDLD26FW6I?authuser=0&hl=en&rclk=1","
Shop No. 1&2, Medicare Hospital, Andheri - Kurla Rd, Marol Naka, Andheri East, Mumbai, Maharashtra 400059",5.0(185)
"Wellness Forever Pharmacy - Jacob Circle, Mahalakshmi","https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+Jacob+Circle,+Mahalakshmi/data=!4m7!3m6!1s0x3be7cf71dcf56299:0x72b6378f4739de59!8m2!3d18.9805717!4d72.8266243!16s%2Fg%2F11n8262nln!19sChIJmWL13HHP5zsRWd45R483tnI?authuser=0&hl=en&rclk=1","
Shop no 9A,9B and 9C, Kashinath Building Maulana Azad Road, Jacob Circle, Satrasta, Mahalakshmi, Mumbai, Maharashtra 400011",5.0(185)
Mumbai Chemist And General Stores,https://www.google.com/maps/place/Mumbai+Chemist+And+General+Stores/data=!4m7!3m6!1s0x3be7c9db296a3557:0x33686738b0000000!8m2!3d19.1162113!4d72.8365515!16s%2Fg%2F11s0fkg2kh!19sChIJVzVqKdvJ5zsRAAAAsDhnaDM?authuser=0&hl=en&rclk=1,"
Shop No. 6, Nasar Appartment Navbharat CHS LTD, Juhu Lane, Dhangar wadi, Andheri West, Mumbai, Maharashtra 400058",5.0(185)
New Empire Chemists,https://www.google.com/maps/place/New+Empire+Chemists/data=!4m7!3m6!1s0x3be7c9c88813d1a7:0xb83f0b41349033b9!8m2!3d19.107507!4d72.8404327!16s%2Fg%2F1tjtgr54!19sChIJp9ETiMjJ5zsRuTOQNEELP7g?authuser=0&hl=en&rclk=1,"
Petrol Pump, Shop No. 3, Empire House, Swami Vivekananda Rd, opp. Irla, Irla, Vile Parle West, Mumbai, Maharashtra 400056",5.0(185)
new royal chemist and surgical,https://www.google.com/maps/place/new+royal+chemist+and+surgical/data=!4m7!3m6!1s0x3be7c8172f802ee7:0x4092d3edbd88280d!8m2!3d19.1180848!4d72.8800666!16s%2Fg%2F11b5yt1c1l!19sChIJ5y6ALxfI5zsRDSiIve3TkkA?authuser=0&hl=en&rclk=1,"
shop number 20, the heights, next to SevenHills Hospital, Shivaji Nagar JJC, Marol, Andheri East, Mumbai, Maharashtra 400059",5.0(185)
"Zeno Health Pharmacy - Navjeevan, Mumbai Central","https://www.google.com/maps/place/Zeno+Health+Pharmacy+-+Navjeevan,+Mumbai+Central/data=!4m7!3m6!1s0x3be7cf8d68e6c471:0x541ece24bce8b37!8m2!3d18.9653831!4d72.819678!16s%2Fg%2F11nmls68gb!19sChIJccTmaI3P5zsRN4vOS-LsQQU?authuser=0&hl=en&rclk=1","
Navjeevan Society, Navjeevan Area, Dalal Estate, Mumbai Central, Mumbai, Maharashtra 400008",5.0(185)
The Bombay Pharmacy,https://www.google.com/maps/place/The+Bombay+Pharmacy/data=!4m7!3m6!1s0x3be7cefa8350e16b:0xd3a0ce5bc5cc98cc!8m2!3d18.9685506!4d72.8152585!16s%2Fg%2F1tgllcgr!19sChIJa-FQg_rO5zsRzJjMxVvOoNM?authuser=0&hl=en&rclk=1,"
1, Sonawala Buildings, J D Street, Talmakiwadi, Tardeo, Mumbai, Maharashtra 400034",5.0(185)
Asian Chemists,https://www.google.com/maps/place/Asian+Chemists/data=!4m7!3m6!1s0x3be7b6233a39052b:0x31d444dfcbdd8ff!8m2!3d19.1274073!4d72.831377!16s%2Fg%2F1tr160kk!19sChIJKwU5OiO25zsR_9i9_E1EHQM?authuser=0&hl=en&rclk=1,"
1, A/1, Shitladevi Cooperative Housing Society Limited, Station, New Link Rd, opp. Metro Station D N Nagar, Manmandir Co.operative Housing Society, Shitladevi Chawl, D.N.Nagar, Andheri West, Mumbai, Maharashtra 400053",5.0(185)
Reliable Chemists,https://www.google.com/maps/place/Reliable+Chemists/data=!4m7!3m6!1s0x3be7d1e009ad9031:0xe67291658ff02fa1!8m2!3d18.9412464!4d72.8283294!16s%2Fg%2F1tkrk882!19sChIJMZCtCeDR5zsRoS_wj2WRcuY?authuser=0&hl=en&rclk=1,"
Gate no.2, Shop No.38, Kakad Arcade, 11, Bombay Hospital Ave, New Marine Lines, Mumbai, Maharashtra 400020",5.0(185)
Mumbai Hospital Chemist,https://www.google.com/maps/place/Mumbai+Hospital+Chemist/data=!4m7!3m6!1s0x3be7d1dfde37726d:0x1cb7e51865100f7c!8m2!3d18.941475!4d72.827883!16s%2Fg%2F1hhjsls1l!19sChIJbXI33t_R5zsRfA8QZRjltxw?authuser=0&hl=en&rclk=1,"
29, Kakad Arcade, Opp. Bombay Hospital, 11, New Marine Lines, Mumbai, Maharashtra 400020",5.0(185)
Royal Chemists,https://www.google.com/maps/place/Royal+Chemists/data=!4m7!3m6!1s0x3be7d1e0225c38e9:0x87e046c965b64d19!8m2!3d18.9419663!4d72.8264671!16s%2Fg%2F1td9c6zp!19sChIJ6ThcIuDR5zsRGU22ZclG4Ic?authuser=0&hl=en&rclk=1,"
Queens Chamber, 89-A, Maharshi Karve Rd, New Marine Lines, Marine Lines, Mumbai, Maharashtra 400020",5.0(185)
Gateway Chemist,https://www.google.com/maps/place/Gateway+Chemist/data=!4m7!3m6!1s0x3be7ce7725227907:0x4544df4ae3dedaff!8m2!3d18.9722581!4d72.809238!16s%2Fg%2F1tfmg8mw!19sChIJB3kiJXfO5zsR_9re40rfREU?authuser=0&hl=en&rclk=1,"
Shop No. 4, Doctor House, Pedder Rd, opp. Jaslok Hospital And Research Centre, Cumballa Hill, Mumbai, Maharashtra 400026",5.0(185)
Daily Medical 24×7 Chemist,https://www.google.com/maps/place/Daily+Medical+24%C3%977+Chemist/data=!4m7!3m6!1s0x3be7ce3ceb06beb3:0x2bf92399ca9179d!8m2!3d18.9551719!4d72.8321515!16s%2Fg%2F11g8fx5jmv!19sChIJs74G6zzO5zsRnRepnDmSvwI?authuser=0&hl=en&rclk=1,"
357, Ibrahim Rehmatullah Rd, Ajmer, Bhendi Bazaar, Bhuleshwar, Mumbai, Maharashtra 400003",5.0(185)
Central Chemists,https://www.google.com/maps/place/Central+Chemists/data=!4m7!3m6!1s0x3be7ce6dc618d0b1:0xdfbbc9cc13ebe50a!8m2!3d18.968363!4d72.8229082!16s%2Fg%2F1tvm1720!19sChIJsdAYxm3O5zsRCuXrE8zJu98?authuser=0&hl=en&rclk=1,"
291, Jehangir Boman Behram Rd, opp. S.T.Depot, Navjeevan Society, Dalal Estate, Kamathipura, Mumbai, Maharashtra 400008",5.0(185)
Goyal Chemist & General Store,https://www.google.com/maps/place/Goyal+Chemist+%26+General+Store/data=!4m7!3m6!1s0x3be7d12312deee67:0x6184a4c625c28b67!8m2!3d18.9166954!4d72.8233527!16s%2Fg%2F11jt4hkds3!19sChIJZ-7eEiPR5zsRZ4vCJcakhGE?authuser=0&hl=en&rclk=1,"
Shop No : 33 , Shivshastri Machimar Nagar , Capt, Captain Prakash Pethe Marg, Colaba, Mumbai, Maharashtra 400005",5.0(185)
NEW ELITE CHEMIST & SUPERMARKET,https://www.google.com/maps/place/NEW+ELITE+CHEMIST+%26+SUPERMARKET/data=!4m7!3m6!1s0x3be7c9557cf18ae5:0x8b36c80c8ab68689!8m2!3d19.1138225!4d72.8622716!16s%2Fg%2F11ljs5n84z!19sChIJ5YrxfFXJ5zsRiYa2igzINos?authuser=0&hl=en&rclk=1,"
SHOP NO.3, YASHODA NIWAS, OPP. CRISIL HOUSE NEXT TO ANDHRA BANK, Andheri - Kurla Rd, near POPULAR CARS, Andheri East, Mumbai, Maharashtra 400093",5.0(185)
